litmus,family,fenced,schedule,seed,r0,r1,outcome,oracle,status,forbidden,invariant_failure,trace
LB_FENCE,load_buffering,true,11,21136,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_11.jsonl
LB_FENCE,load_buffering,true,12,21233,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_12.jsonl
LB_FENCE,load_buffering,true,13,21330,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_13.jsonl
LB_FENCE,load_buffering,true,14,21427,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_14.jsonl
LB_FENCE,load_buffering,true,15,21524,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_15.jsonl
LB_FENCE,load_buffering,true,16,21621,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_16.jsonl
LB_FENCE,load_buffering,true,17,21718,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_17.jsonl
LB_FENCE,load_buffering,true,18,21815,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_18.jsonl
LB_FENCE,load_buffering,true,19,21912,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_19.jsonl
LB_FENCE,load_buffering,true,20,22009,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_20.jsonl
LB_FENCE,load_buffering,true,21,22106,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_21.jsonl
LB_FENCE,load_buffering,true,22,22203,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_22.jsonl
LB_FENCE,load_buffering,true,23,22300,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_23.jsonl
LB_FENCE,load_buffering,true,24,22397,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/lb_fence_24.jsonl
RW,read_write,false,0,19648,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_00.jsonl
RW,read_write,false,1,19745,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_01.jsonl
RW,read_write,false,2,19842,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_02.jsonl
RW,read_write,false,3,19939,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_03.jsonl
RW,read_write,false,4,20036,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_04.jsonl
RW,read_write,false,5,20133,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_05.jsonl
RW,read_write,false,6,20230,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_06.jsonl
RW,read_write,false,7,20327,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_07.jsonl
RW,read_write,false,8,20424,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_08.jsonl
RW,read_write,false,9,20521,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_09.jsonl
RW,read_write,false,10,20618,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_10.jsonl
RW,read_write,false,11,20715,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_11.jsonl
RW,read_write,false,12,20812,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_12.jsonl
RW,read_write,false,13,20909,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_13.jsonl
RW,read_write,false,14,21006,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_14.jsonl
RW,read_write,false,15,21103,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_15.jsonl
RW,read_write,false,16,21200,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_16.jsonl
RW,read_write,false,17,21297,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_17.jsonl
RW,read_write,false,18,21394,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_18.jsonl
RW,read_write,false,19,21491,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_19.jsonl
RW,read_write,false,20,21588,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_20.jsonl
RW,read_write,false,21,21685,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_21.jsonl
RW,read_write,false,22,21782,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_22.jsonl
RW,read_write,false,23,21879,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_23.jsonl
RW,read_write,false,24,21976,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_24.jsonl
RW_FENCE,read_write,true,0,20096,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_00.jsonl
RW_FENCE,read_write,true,1,20193,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_01.jsonl
RW_FENCE,read_write,true,2,20290,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_02.jsonl
RW_FENCE,read_write,true,3,20387,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_03.jsonl
RW_FENCE,read_write,true,4,20484,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_04.jsonl
RW_FENCE,read_write,true,5,20581,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_05.jsonl
RW_FENCE,read_write,true,6,20678,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_06.jsonl
RW_FENCE,read_write,true,7,20775,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_07.jsonl
RW_FENCE,read_write,true,8,20872,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_08.jsonl
RW_FENCE,read_write,true,9,20969,1,0,"1,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_09.jsonl
RW_FENCE,read_write,true,10,21066,0,0,"0,0",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_10.jsonl
RW_FENCE,read_write,true,11,21163,0,1,"0,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_11.jsonl
RW_FENCE,read_write,true,12,21260,1,1,"1,1",pinned_rvwmo_predicate,PASS,false,none,build/coherent/litmus_traces/rw_fence_12.jsonl
